Source,Target,Type,Id,Label,timeset,Weight,source_label,target_label,source modularity,target modularity,,,,,3,0,5,4,1,2,
56,362,Directed,76,,<[2012.0]>,"<[2012.0, 1.0]>",biotechnology,management_information_systems,2,5,,,,,,,,,,,
213,558,Directed,77,,<[2011.0]>,"<[2011.0, 2.0]>",environmental_consulting,solar,0,0,,,,,,,,,,,
42,232,Directed,78,,<[2012.0]>,"<[2012.0, 1.0]>",b2b,file_sharing,3,5,,,,,,,,,,,
369,518,Directed,79,,<[2012.0]>,"<[2012.0, 1.0]>",marketing_automation,sem,3,3,,,,,,,,,,,
415,472,Directed,80,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 5.0]; [2012.0, 8.0]>",oil_and_gas,project_management,0,0,,,,,,,,,,,
96,573,Directed,81,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 1.0]>",cms,telecommunications,3,3,,,,,,,,,,,
167,507,Directed,82,,<[2011.0]>,"<[2011.0, 2.0]>",developer_tools,risk_management,3,1,,,,,,,,,,,
42,238,Directed,83,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 5.0]; [2012.0, 7.0]>",b2b,financial_services,3,1,,,,,,,,,,,
145,196,Directed,84,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 1.0]>",crm,electronics,5,0,,,,,,,,,,,
314,405,Directed,85,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 7.0]; [2011.0, 3.0]; [2012.0, 11.0]>",information_services,news,5,3,,,,,,,,,,,
475,556,Directed,86,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 7.0]; [2011.0, 6.0]; [2012.0, 4.0]>",property_management,software,1,5,,,,,,,,,,,
118,504,Directed,87,,<[2010.0]>,"<[2010.0, 1.0]>",consumer,retirement,4,1,,,,,,,,,,,
361,507,Directed,88,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 6.0]; [2011.0, 6.0]; [2012.0, 3.0]>",management_consulting,risk_management,5,1,,,,,,,,,,,
326,405,Directed,89,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 1.0]>",ios,news,3,3,,,,,,,,,,,
68,280,Directed,90,,"<[2010.0, 2011.0]>","<[2010.0, 6.0]; [2011.0, 1.0]>",business_intelligence,health_care,5,2,,,,,,,,,,,
236,263,Directed,91,,<[2012.0]>,"<[2012.0, 1.0]>",finance,geospatial,1,5,,,,,,,,,,,
183,630,Directed,92,,<[2011.0]>,"<[2011.0, 1.0]>",e-commerce,web_browsers,4,3,,,,,,,,,,,
312,633,Directed,93,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",industrial_manufacturing,web_hosting,0,5,,,,,,,,,,,
318,362,Directed,94,,<[2011.0]>,"<[2011.0, 2.0]>",insurance,management_information_systems,1,5,,,,,,,,,,,
300,517,Directed,95,,<[2010.0]>,"<[2010.0, 1.0]>",iaas,security,5,5,,,,,,,,,,,
275,343,Directed,96,,<[2012.0]>,"<[2012.0, 1.0]>",grocery,leisure,4,4,,,,,,,,,,,
166,589,Directed,97,,<[2011.0]>,"<[2011.0, 1.0]>",developer_platform,transportation,5,0,,,,,,,,,,,
40,585,Directed,98,,<[2011.0]>,"<[2011.0, 1.0]>",automotive,trading_platform,0,0,,,,,,,,,,,
62,232,Directed,99,,<[2011.0]>,"<[2011.0, 1.0]>",broadcasting,file_sharing,3,5,,,,,,,,,,,
455,556,Directed,100,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 1.0]>",precious_metals,software,0,5,,,,,,,,,,,
120,416,Directed,101,,<[2012.0]>,"<[2012.0, 1.0]>",consumer_electronics,online_auctions,0,4,,,,,,,,,,,
24,309,Directed,102,,<[2011.0]>,"<[2011.0, 1.0]>",animation,industrial_automation,3,0,,,,,,,,,,,
323,532,Directed,103,,<[2011.0]>,"<[2011.0, 1.0]>",internet,simulation,3,5,,,,,,,,,,,
149,441,Directed,104,,<[2012.0]>,"<[2012.0, 1.0]>",customer_service,personalization,1,3,,,,,,,,,,,
212,289,Directed,105,,<[2012.0]>,"<[2012.0, 1.0]>",enterprise_software,home_renovation,5,4,,,,,,,,,,,
239,281,Directed,106,,<[2012.0]>,"<[2012.0, 1.0]>",fintech,health_diagnostics,1,2,,,,,,,,,,,
194,385,Directed,107,,<[2011.0]>,"<[2011.0, 1.0]>",electronic_design_automation_(eda),mobile,5,3,,,,,,,,,,,
190,222,Directed,108,,<[2011.0]>,"<[2011.0, 2.0]>",elder_care,facility_management,2,0,,,,,,,,,,,
525,547,Directed,109,,<[2012.0]>,"<[2012.0, 1.0]>",service_industry,social_impact,0,3,,,,,,,,,,,
142,143,Directed,110,,<[2012.0]>,"<[2012.0, 1.0]>",credit,credit_bureau,1,1,,,,,,,,,,,
4,315,Directed,111,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 5.0]; [2011.0, 10.0]; [2012.0, 7.0]>",ad_network,information_technology,3,5,,,,,,,,,,,
10,218,Directed,112,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 4.0]; [2012.0, 4.0]>",advertising,events,3,3,,,,,,,,,,,
30,156,Directed,113,,<[2011.0]>,"<[2011.0, 1.0]>",archiving_service,data_storage,5,5,,,,,,,,,,,
341,368,Directed,114,,<[2012.0]>,"<[2012.0, 4.0]>",legal,marketing,5,3,,,,,,,,,,,
343,568,Directed,115,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 4.0]; [2012.0, 4.0]>",leisure,swimming,4,0,,,,,,,,,,,
340,525,Directed,116,,"<[2011.0, 2012.0]>","<[2011.0, 1.0]; [2012.0, 2.0]>",leasing,service_industry,0,0,,,,,,,,,,,
174,452,Directed,117,,<[2011.0]>,"<[2011.0, 1.0]>",direct_marketing,politics,3,3,,,,,,,,,,,
550,553,Directed,118,,<[2011.0]>,"<[2011.0, 1.0]>",social_media_management,social_news,3,3,,,,,,,,,,,
170,610,Directed,119,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 3.0]>",digital_entertainment,video_games,3,3,,,,,,,,,,,
394,396,Directed,120,,<[2011.0]>,"<[2011.0, 2.0]>",music_education,musical_instruments,4,4,,,,,,,,,,,
65,281,Directed,121,,<[2012.0]>,"<[2012.0, 1.0]>",building_material,health_diagnostics,0,2,,,,,,,,,,,
77,236,Directed,122,,<[2011.0]>,"<[2011.0, 1.0]>",catering,finance,4,1,,,,,,,,,,,
58,587,Directed,123,,<[2011.0]>,"<[2011.0, 1.0]>",blockchain,transaction_processing,1,1,,,,,,,,,,,
375,471,Directed,124,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 1.0]>",medical_device,professional_services,2,5,,,,,,,,,,,
258,343,Directed,125,,<[2011.0]>,"<[2011.0, 1.0]>",furniture,leisure,0,4,,,,,,,,,,,
112,556,Directed,126,,"<[2010.0, 2011.0]>","<[2010.0, 4.0]; [2011.0, 2.0]>",computer_vision,software,5,5,,,,,,,,,,,
368,374,Directed,127,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 4.0]; [2012.0, 1.0]>",marketing,medical,3,2,,,,,,,,,,,
80,312,Directed,128,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 8.0]; [2011.0, 5.0]; [2012.0, 8.0]>",chemical,industrial_manufacturing,0,0,,,,,,,,,,,
515,590,Directed,129,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 10.0]; [2012.0, 5.0]>",search_engine,travel,3,4,,,,,,,,,,,
120,373,Directed,130,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 3.0]; [2012.0, 3.0]>",consumer_electronics,media_and_entertainment,0,3,,,,,,,,,,,
477,518,Directed,131,,<[2012.0]>,"<[2012.0, 1.0]>",public_relations,sem,3,3,,,,,,,,,,,
103,183,Directed,132,,"<[2010.0, 2011.0]>","<[2010.0, 1.0]; [2011.0, 3.0]>",commercial,e-commerce,0,4,,,,,,,,,,,
66,289,Directed,133,,<[2011.0]>,"<[2011.0, 1.0]>",business_development,home_renovation,5,4,,,,,,,,,,,
12,556,Directed,134,,"<[2010.0, 2012.0]>","<[2010.0, 4.0]; [2012.0, 1.0]>",advice,software,5,5,,,,,,,,,,,
68,471,Directed,135,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 3.0]; [2012.0, 2.0]>",business_intelligence,professional_services,5,5,,,,,,,,,,,
121,368,Directed,136,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 4.0]; [2011.0, 3.0]; [2012.0, 6.0]>",consumer_goods,marketing,0,3,,,,,,,,,,,
34,556,Directed,137,,<[2012.0]>,"<[2012.0, 1.0]>",assistive_technology,software,0,5,,,,,,,,,,,
517,637,Directed,138,,<[2010.0]>,"<[2010.0, 1.0]>",security,wholesale,5,0,,,,,,,,,,,
291,517,Directed,139,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 32.0]; [2011.0, 36.0]; [2012.0, 16.0]>",homeland_security,security,5,5,,,,,,,,,,,
183,637,Directed,140,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 2.0]; [2012.0, 1.0]>",e-commerce,wholesale,4,0,,,,,,,,,,,
184,236,Directed,141,,<[2012.0]>,"<[2012.0, 1.0]>",e-commerce_platforms,finance,4,1,,,,,,,,,,,
150,619,Directed,142,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 3.0]; [2012.0, 3.0]>",cyber_security,virtualization,5,5,,,,,,,,,,,
353,509,Directed,143,,<[2010.0]>,"<[2010.0, 1.0]>",local_advertising,saas,3,5,,,,,,,,,,,
483,510,Directed,144,,<[2012.0]>,"<[2012.0, 1.0]>",quantum_computing,sales,5,0,,,,,,,,,,,
41,368,Directed,145,,<[2012.0]>,"<[2012.0, 1.0]>",autonomous_vehicles,marketing,0,3,,,,,,,,,,,
20,469,Directed,146,,"<[2010.0, 2012.0]>","<[2010.0, 2.0]; [2012.0, 1.0]>",analytics,productivity_tools,5,5,,,,,,,,,,,
106,472,Directed,147,,<[2012.0]>,"<[2012.0, 1.0]>",commercial_real_estate,project_management,1,0,,,,,,,,,,,
480,632,Directed,148,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 3.0]; [2012.0, 4.0]>",publishing,web_development,3,3,,,,,,,,,,,
258,298,Directed,149,,<[2010.0]>,"<[2010.0, 1.0]>",furniture,human_resources,0,1,,,,,,,,,,,
552,635,Directed,150,,<[2011.0]>,"<[2011.0, 2.0]>",social_network,wedding,3,3,,,,,,,,,,,
552,573,Directed,151,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 2.0]>",social_network,telecommunications,3,3,,,,,,,,,,,
6,11,Directed,152,,<[2011.0]>,"<[2011.0, 1.0]>",ad_server,advertising_platforms,3,3,,,,,,,,,,,
221,244,Directed,153,,<[2012.0]>,"<[2012.0, 1.0]>",facilities_support_services,food_and_beverage,0,4,,,,,,,,,,,
370,487,Directed,154,,<[2012.0]>,"<[2012.0, 1.0]>",marketplace,real_time,4,3,,,,,,,,,,,
169,269,Directed,155,,<[2012.0]>,"<[2012.0, 1.0]>",dietary_supplements,govtech,2,5,,,,,,,,,,,
185,508,Directed,156,,<[2012.0]>,"<[2012.0, 1.0]>",e-learning,robotics,1,5,,,,,,,,,,,
199,227,Directed,157,,<[2011.0]>,"<[2011.0, 1.0]>",embedded_software,fashion,5,4,,,,,,,,,,,
244,253,Directed,158,,<[2012.0]>,"<[2012.0, 2.0]>",food_and_beverage,fruit,4,0,,,,,,,,,,,
7,549,Directed,159,,<[2012.0]>,"<[2012.0, 1.0]>",ad_targeting,social_media_advertising,3,3,,,,,,,,,,,
239,246,Directed,160,,<[2010.0]>,"<[2010.0, 1.0]>",fintech,food_processing,1,4,,,,,,,,,,,
130,171,Directed,161,,<[2011.0]>,"<[2011.0, 1.0]>",content_discovery,digital_marketing,3,3,,,,,,,,,,,
245,294,Directed,162,,<[2012.0]>,"<[2012.0, 8.0]>",food_delivery,hospitality,4,4,,,,,,,,,,,
279,368,Directed,163,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 1.0]; [2012.0, 1.0]>",hardware,marketing,5,3,,,,,,,,,,,
363,471,Directed,164,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 2.0]; [2011.0, 4.0]; [2012.0, 1.0]>",manufacturing,professional_services,0,5,,,,,,,,,,,
97,570,Directed,165,,<[2012.0]>,"<[2012.0, 1.0]>",coffee,tea,4,4,,,,,,,,,,,
293,405,Directed,166,,<[2012.0]>,"<[2012.0, 1.0]>",hospital,news,2,3,,,,,,,,,,,
88,624,Directed,167,,"<[2010.0, 2012.0]>","<[2010.0, 1.0]; [2012.0, 3.0]>",cleantech,waste_management,0,0,,,,,,,,,,,
227,477,Directed,168,,<[2012.0]>,"<[2012.0, 1.0]>",fashion,public_relations,4,3,,,,,,,,,,,
416,517,Directed,169,,<[2012.0]>,"<[2012.0, 1.0]>",online_auctions,security,4,5,,,,,,,,,,,
155,158,Directed,170,,<[2010.0]>,"<[2010.0, 1.0]>",data_mining,database,1,5,,,,,,,,,,,
222,314,Directed,171,,<[2012.0]>,"<[2012.0, 1.0]>",facility_management,information_services,0,5,,,,,,,,,,,
183,368,Directed,172,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 20.0]; [2011.0, 24.0]; [2012.0, 30.0]>",e-commerce,marketing,4,3,,,,,,,,,,,
116,616,Directed,173,,<[2010.0]>,"<[2010.0, 1.0]>",construction,virtual_reality,0,5,,,,,,,,,,,
214,316,Directed,174,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 6.0]; [2011.0, 4.0]; [2012.0, 1.0]>",environmental_engineering,infrastructure,0,0,,,,,,,,,,,
284,315,Directed,175,,<[2012.0]>,"<[2012.0, 3.0]>",higher_education,information_technology,1,5,,,,,,,,,,,
60,387,Directed,176,,<[2011.0]>,"<[2011.0, 2.0]>",brand_marketing,mobile_apps,3,3,,,,,,,,,,,
238,563,Directed,177,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 2.0]; [2012.0, 3.0]>",financial_services,staffing_agency,1,1,,,,,,,,,,,
238,602,Directed,178,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 52.0]; [2011.0, 68.0]; [2012.0, 69.0]>",financial_services,venture_capital,1,1,,,,,,,,,,,
323,551,Directed,179,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 3.0]; [2011.0, 5.0]; [2012.0, 5.0]>",internet,social_media_marketing,3,3,,,,,,,,,,,
40,308,Directed,180,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 9.0]; [2011.0, 13.0]; [2012.0, 14.0]>",automotive,industrial,0,0,,,,,,,,,,,
127,418,Directed,181,,<[2011.0]>,"<[2011.0, 2.0]>",content,online_games,3,3,,,,,,,,,,,
240,373,Directed,182,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 1.0]; [2011.0, 1.0]; [2012.0, 1.0]>",fitness,media_and_entertainment,2,3,,,,,,,,,,,
101,149,Directed,183,,<[2011.0]>,"<[2011.0, 1.0]>",collection_agency,customer_service,1,1,,,,,,,,,,,
547,556,Directed,184,,<[2011.0]>,"<[2011.0, 1.0]>",social_impact,software,3,5,,,,,,,,,,,
341,602,Directed,185,,<[2012.0]>,"<[2012.0, 2.0]>",legal,venture_capital,5,1,,,,,,,,,,,
261,385,Directed,186,,"<[2010.0, 2011.0, 2012.0]>","<[2010.0, 16.0]; [2011.0, 25.0]; [2012.0, 14.0]>",gaming,mobile,3,3,,,,,,,,,,,
